Aff,Neg,Judges,Votes,Win
Archbishop Mitty JM,Montgomery Bell HL,"Sophie Leonard																																						Nina Bhuket																																						Ayush Potdar","Neg																															Neg																															Neg","3-0																															NEG"
Lake Balboa DS,Taipei American YH,"Jared Burke																																						Archan Sen																																						Calista Shih","Neg																															Neg																															Neg","3-0																															NEG"
Pace WS,Interlake SW,"Alyssa Lucas-Bolin																																						Brendon Bankey																																						Max Ulven","Neg																															Neg																															Neg","3-0																															NEG"
Peninsula LP,Westwood GA,"Maikle Low																																						Zach Thiede																																						Jacob Bosley","Neg																															Neg																															Neg","3-0																															NEG"
Archbishop Mitty TW,New Trier MP,"Jared Spiers																																						Jordan Di																																						Rosalind Goldman","Neg																															Neg																															Neg","3-0																															NEG"
Quarry Lane AC,Peninsula KY,"Jared Adam																																						Dan Lingel																																						Zidao Wang","Aff																															Aff																															Aff","3-0																															AFF"
Quarry Lane GK,Montgomery Bell SJ,"Connelly Cowan																																						Anthony Trufanov																																						Valerie McIntosh","Neg																															Neg																															Neg","3-0																															NEG"
Liberal Arts and Science KV,Sacred Heart Cathedral Prep BF,"Coralynn Yang																																						Buck Arney																																						Devin Lai","Aff																															Aff																															Neg","2-1																															AFF"
Westwood SK,Sonoma KL,"Brandon Lin																																						Alex Brown																																						Sachin Aggarwal","Neg																															Neg																															Neg","3-0																															NEG"
Glenbrook South PS,Montgomery Bell TB,"Bilal Faisal																																						Jimin Park																																						Surya Krishnapillai","Neg																															Neg																															Neg","3-0																															NEG"
College Prep NT,Peninsula FW,"Kevin Hirn																																						Ian Shone																																						Bryce Sheffield","Aff																															Aff																															Aff","3-0																															AFF"
Taipei American CM,Bellarmine  LH,"Mike Li																																						Nicole Mui																																						Sabrina Yang","Neg																															Neg																															Neg","3-0																															NEG"
Winston Churchill MS,Quarry Lane AM,"Tara Tate																																						Jiyoon Park																																						Slim Lim","Neg																															Neg																															Neg","3-0																															NEG"
Liberal Arts and Science BC,Notre Dame VB,"AJ Byrne																																						Jeff Buntin																																						Genevieve Hackman","Neg																															Neg																															Aff","2-1																															NEG"
Glenbrook South KM,Rowland Hall CL,"Ben Sayers																																						Grant Nilson																																						Kevin Lai","Aff																															Aff																															Aff","3-0																															AFF"
Pace MG,Head-Royce AJ,"Kento Taylor																																						Sam Yan																																						Arnav Aggarwal","Neg																															Neg																															Neg","3-0																															NEG"
