Aff,Neg,Judges,Votes,Win
College Prep NT,Montgomery Bell HL,"Jack Moore																																						Jiyoon Park																																						Buck Arney","Neg																															Neg																															Neg","3-0																															NEG"
Taipei American YH,Glenbrook South KM,"Kevin Hirn																																						Rishi Shetty																																						Gautam Chamarthy","Aff																															Aff																															Aff","3-0																															AFF"
Liberal Arts and Science JM,New Trier MP,"Eric Forslund																																						Maggie Berthiaume																																						Ike Song","Neg																															Neg																															Neg","3-0																															NEG"
Liberal Arts and Science BC,Lexington SD,"Tracy McFarland																																						Ahsan Tahirkheli																																						Jordan Di","Neg																															Aff																															Aff","2-1																															AFF"
Glenbrook North CR,Georgetown Day XM,"Alaina Walberg																																						Aaron Kim																																						Serena Rupp","Aff																															Aff																															Aff","3-0																															AFF"
Little Rock Central LW,Greenhill BS,"Graham Revare																																						Dawn Pierce																																						Sanjith Geevarghese","Aff																															Aff																															Aff","3-0																															AFF"
Glenbrook South PS,Montgomery Bell SJ,"Stephen Pipkin																																						Valerie McIntosh																																						Dan Bannister","Neg																															Neg																															Neg","3-0																															NEG"
Quarry Lane AM,Liberal Arts and Science MR,"Coralynn Yang																																						Raleigh Maxwell																																						Gabriel Morbeck","Aff																															Aff																															Aff","3-0																															AFF"
Westwood GA,Northview NT,"Bilal Faisal																																						Daniel Gallagher																																						Avi Shah","Aff																															Aff																															Aff","3-0																															AFF"
Peninsula YK,Brooklyn Technical HS Independent GL,"AJ Byrne																																						Dustyn Beutelspacher																																						Clara Conry","Neg																															Aff																															Aff","2-1																															AFF"
Pace GM,Woodward JT,"Christina Phillips																																						Brett Bricker																																						Tony Miklovis","Aff																															Aff																															Aff","3-0																															AFF"
Mamaroneck FS,Liberal Arts and Science KV,"Cyrus Esmailzadeh																																						Archan Sen																																						Max Chuang","Neg																															Neg																															Neg","3-0																															NEG"
Newark Science AO,Greenhill HL,"Rosie Valdez																																						Genevieve Hackman																																						David Coale","Aff																															Aff																															Neg","2-1																															AFF"
Quarry Lane AC,Mamaroneck AG,"Dedeepya Rudraraju																																						Will Katz																																						Jack Young","Aff																															Aff																															Aff","3-0																															AFF"
Notre Dame CB,Whitney Young MB,"John Marshall																																						Lucas Lobo																																						Zoey Walsh","Neg																															Neg																															Aff","2-1																															NEG"
Dallas Highland Park BC,Montgomery Bell TB,"Christian Bohmer																																						Dana Randall																																						Kento Taylor","Aff																															Neg																															Neg","2-1																															NEG"
