Aff,Neg,Judges,Votes,Win
Taipei American YH,Glenbrook North KW,"Rishi Shetty																																						Avi Shah																																						Brett Bricker","Aff																															Aff																															Aff","3-0																															AFF"
Calvert Hall CS,Montgomery Bell HL,"Jiyoon Park																																						Veronica Rubin																																						Tim Ellis","Neg																															Neg																															Neg","3-0																															NEG"
Little Rock Central LW,Bellarmine  RC,"Conner Shih																																						Ike Song																																						Bryce Sheffield","Aff																															Aff																															Aff","3-0																															AFF"
Quarry Lane AC,Glenbrook North CR,"Brian Box																																						Kevin Lai																																						Eugene Bressler","Neg																															Aff																															Neg","2-1																															NEG"
Whitney Young MB,Bellarmine  CS,"Eleanor Barrett																																						Archan Sen																																						Mike Li","Aff																															Aff																															Aff","3-0																															AFF"
Montgomery Bell JS,Peninsula PL,"Whit Whitmore																																						Eric Forslund																																						Johnnie Stupek","Aff																															Aff																															Aff","3-0																															AFF"
Blue Valley Southwest PC,Liberal Arts and Science KV,"Alex Mojica																																						Jeff Buntin																																						Arish Singhvi","Aff																															Aff																															Aff","3-0																															AFF"
Montgomery Bell BT,Mamaroneck FS,"Pranav Balakrishnan																																						Gautam Chamarthy																																						Ishan Sharma","Aff																															Aff																															Neg","2-1																															AFF"
Peninsula KY,New Trier MP,"Graham Revare																																						Kurt Fifelski																																						Jimin Park","Neg																															Neg																															Neg","3-0																															NEG"
Interlake WS,Head-Royce DJ,"Jordan Di																																						Jared Spiers																																						Jared Burke","Neg																															Aff																															Neg","2-1																															NEG"
Dallas Highland Park BC,Westwood AG,"Calvin Hwang																																						Lucia Patterson																																						Evan Alexis","Neg																															Aff																															Aff","2-1																															AFF"
Glenbrook South KM,Pace GM,"Kevin Hirn																																						Dana Randall																																						Zahir Shaikh","Aff																															Neg																															Neg","2-1																															NEG"
Notre Dame BC,Bellarmine  LH,"Connelly Cowan																																						Coralynn Yang																																						Jack Young","Neg																															Neg																															Neg","3-0																															NEG"
Newark Science OA,Glenbrook North LP,"Ross Fitzpatrick																																						Ryan Cavanaugh																																						AJ Byrne","Aff																															Aff																															Aff","3-0																															AFF"
Damien-St. Lucy's PP,Greenhill HL,"Yao Yao Chen																																						David Griffith																																						Sean Duff","Neg																															Aff																															Aff","2-1																															AFF"
Liberal Arts and Science BC,Westwood KS,"Cyrus Esmailzadeh																																						Ahsan Tahirkheli																																						Daniel Gallagher","Aff																															Aff																															Aff","3-0																															AFF"
