Aff,Neg,Judges,Votes,Win
Montgomery Bell SJ,Westwood DN,"Jake Lee																																						David Heidt																																						Graham Revare","Aff																															Aff																															Aff","3-0																															AFF"
Peninsula KY,Glenbrook North CR,"Eric Forslund																																						Riley Reichel																																						AJ Byrne","Neg																															Neg																															Neg","3-0																															NEG"
Head-Royce DJ,Mamaroneck SF,"Alex Brown																																						Sameer Varkantham																																						Jared Spiers","Aff																															Aff																															Aff","3-0																															AFF"
Washburn Rural CH,Blue Valley Southwest PC,"Jeff Buntin																																						Clara Conry																																						Joshua Michael","Neg																															Neg																															Neg","3-0																															NEG"
Whitney Young MB,Sonoma KL,"Yao Yao Chen																																						Tim Freehan																																						Allie Chase","Aff																															Aff																															Aff","3-0																															AFF"
Montgomery Bell HL,Bellarmine  HR,"Cody Morrow																																						Johnnie Stupek																																						Zach Willingham","Aff																															Aff																															Aff","3-0																															AFF"
Quarry Lane AM,Little Rock Central LW,"Dustin Meyers-Levy																																						Ilan Boguslavsky																																						Nine Abad","Neg																															Neg																															Aff","2-1																															NEG"
Johns Creek GV,Taipei American YH,"Cy Turner																																						Jared Burke																																						Dustyn Beutelspacher","Neg																															Neg																															Neg","3-0																															NEG"
Montgomery Bell BT,New Trier MP,"Whit Whitmore																																						Ryan McFarland																																						Matt Munday","Aff																															Neg																															Aff","2-1																															AFF"
New Trier HY,Glenbrook South KM,"Stephen Pipkin																																						Tyler Vergho																																						Dana Randall","Neg																															Neg																															Neg","3-0																															NEG"
Head-Royce AA,Glenbrook North LP,"Calvin Hwang																																						Bilal Faisal																																						Charlie Hale","Aff																															Aff																															Aff","3-0																															AFF"
McDonogh SP,Liberal Arts and Science BC,"Alaina Walberg																																						Valerie McIntosh																																						Tripp Rebrovick","Neg																															Neg																															Aff","2-1																															NEG"
Mamaroneck GA,Pace MG,"Will Katz																																						Aaron Kim																																						Coralynn Yang","Aff																															Aff																															Aff","3-0																															AFF"
Quarry Lane AC,Glenbrook South PM,"Gabriel Jankovsky																																						Cyrus Esmailzadeh																																						Kevin Hirn","Neg																															Neg																															Aff","2-1																															NEG"
Liberal Arts and Science KV,Bellarmine  LO,"Matt Cekanor																																						Archan Sen																																						Genevieve Hackman","Neg																															Neg																															Neg","3-0																															NEG"
Westwood SK,Westwood AG,,Westwood AG advances,Westwood AG advances
