Aff,Neg,Judges,Votes,Win
Liberal Arts and Science KV,Jesuit SV,"William Jensen																																						Natalie Stone																																						David Coale","Aff																															Aff																															Aff","3-0																															AFF"
Winston Churchill RV,Dallas Highland Park BC,"Will Honea																																						Yao Yao Chen																																						Eric Schwerdtfeger","Neg																															Neg																															Neg","3-0																															NEG"
Jesuit CS,Coppell GM,"Lindsay Jade Feinstein																																						Ross Fitzpatrick																																						Lawson Hudson","Neg																															Neg																															Neg","3-0																															NEG"
Newark Science AO,Ronald Reagan FP,"Aaron Kim																																						Sorin Karunadasa																																						Robert Underwood","Neg																															Aff																															Neg","2-1																															NEG"
Melissa NT,Jesuit BP,"Jacob Everett																																						Tommy Snider																																						Jonathan Alston","Aff																															Neg																															Aff","2-1																															AFF"
Greenhill GM,Little Rock Central WW,"Jack Moore																																						Nine Abad																																						Bilal Faisal","Neg																															Neg																															Neg","3-0																															NEG"
Liberal Arts and Science LL,Coppell KP,"Leigha Maddy																																						Isha Bhasin																																						Brooklyn King","Neg																															Aff																															Aff","2-1																															AFF"
Little Rock Central GK,Liberal Arts and Science MR,"Tvisha Jindal																																						Dustyn Beutelspacher																																						John Marshall","Neg																															Neg																															Aff","2-1																															NEG"
Greenhill HK,Greenhill BS,,Greenhill BS advances,Greenhill BS advances
Liberal Arts and Science JM,Liberal Arts and Science BT,,Liberal Arts and Science BT advances,Liberal Arts and Science BT advances
Westwood DP,Westwood NL,,Westwood NL advances,Westwood NL advances
