Aff,Neg,Judges,Votes,Win
Bellarmine  LM,Peppy Pilots Independent FM,"‎Gilead Falin																																						Zach Thiede																																						Jenny Liu","Neg																															Neg																															Neg","3-0																															NEG"
George Washington AR,Unionville MY,"Riley Reichel																																						Vikram Valame																																						Aaron Fernandez","Neg																															Neg																															Neg","3-0																															NEG"
Quarry Lane AV,Interlake WS,"Amira Shananier																																						Robert Ou																																						Jiyoon Park","Neg																															Neg																															Aff","2-1																															NEG"
ModernBrain PC,Damien-St. Lucy's NK,"Patrick Hansen																																						Jericho Suarez																																						Tristan Ignacio-Bato","Neg																															Neg																															Neg","3-0																															NEG"
Interlake OC,Peninsula BB,"Eli Hatton																																						Evan Alexis																																						Jayden Sampat","Neg																															Neg																															Aff","2-1																															NEG"
Quarry Lane ST,BASIS Peoria Independent SP,"Maria Cook																																						Ruth Patterson																																						Grace McManus","Neg																															Neg																															Aff","2-1																															NEG"
Archbishop Mitty TW,Peppy Pilots Independent CZ,"Ethan Wall																																						Alba Wilson-Axpe																																						Sheima Ben-Abdallah","Aff																															Neg																															Aff","2-1																															AFF"
Westminster HZ,Arizona Chandler Independent LS,"Ashley Wright																																						Caitlin Walrath																																						Jumico Evi","Neg																															Aff																															Neg","2-1																															NEG"
Bellarmine  BH,Parkrose GH,"Carla Ramazan																																						Vaden Kumar																																						Sonia Chen","Neg																															Neg																															Neg","3-0																															NEG"
Quarry Lane HK,Farmington NC,"Noah Winters																																						Henry Ediger																																						Astrid Clough","Neg																															Neg																															Aff","2-1																															NEG"
Taipei American CM,BASIS Peoria Independent JG,"Irshad Reza Husain																																						Adhitya Thirumala																																						Sage Carter","Neg																															Neg																															Neg","3-0																															NEG"
Rowland Hall SV,Head-Royce AD,"Caleb Prost																																						Ian Lowery																																						Mark Kivimaki","Neg																															Neg																															Neg","3-0																															NEG"
Westwood DP,Interlake CY,"Amy Gorell																																						Kurt Fifelski																																						Adam Humphrey","Aff																															Neg																															Neg","2-1																															NEG"
Bellarmine  SC,Sacred Heart Cathedral Prep BF,"Megan Rodak																																						Alex Reznik																																						Chris Paredes","Neg																															Neg																															Aff","2-1																															NEG"
Bellarmine  BK,Bellarmine  CR,,Bellarmine  CR advances,Bellarmine  CR advances
