Aff,Neg,Judges,Votes,Win
Newark Science AO,Berkeley Prep NG,"tom mickelson																																						Noah Smith																																						Richard Liu","Aff																															Aff																															Aff","3-0																															AFF"
Carrollton School of the Sacred Heart BG,Overland Blue JB,"Annabeth Lundberg																																						Dawn Pierce																																						Alex Mojica","Neg																															Neg																															Neg","3-0																															NEG"
Boston Latin LL,Avery Coonley FN,"Neymara Freeman																																						Kaylyn Kim																																						Zach Willingham","Neg																															Aff																															Aff","2-1																															AFF"
Georgetown Day MX,Woodward AR,"Calvin Hwang																																						Brad Meloche																																						Haddie Schedler","Aff																															Aff																															Aff","3-0																															AFF"
Walter Payton BC,VHTPA GM,"Coralynn Yang																																						Robert Ou																																						Jayden Sampat","Neg																															Neg																															Neg","3-0																															NEG"
Peppy Pilots Independent CZ,Pembroke Hill AB,"Stephen Pipkin																																						Harris Chaudhry																																						Joshua Smith","Neg																															Neg																															Aff","2-1																															NEG"
St Paul Central CE,Poly Prep BL,"Kate’lynn Shaw																																						Tvisha Jindal																																						Wheezy Ervin","Neg																															Neg																															Neg","3-0																															NEG"
North Broward Prep AG,Unionville MY,"Ari Karchmer																																						Jared Burke																																						Hana Bisevac","Aff																															Neg																															Neg","2-1																															NEG"
James Logan AK,Carrollton School of the Sacred Heart MG,"Samir Rahaman																																						Blake Deng																																						Connor O'Brien","Neg																															Neg																															Aff","2-1																															NEG"
Peninsula BB,Woodward SW,"Claire Ain																																						Meera Sehgal																																						Henry Walawender","Aff																															Aff																															Aff","3-0																															AFF"
Quarry Lane HK,Peninsula WF,"Owen Owings																																						Jay Yoon																																						Gabriel Jankovsky","Neg																															Aff																															Neg","2-1																															NEG"
Okemos AT,Baltimore City HW,"Marshall Steele																																						Hina Shehzad																																						John Holen","Neg																															Neg																															Aff","2-1																															NEG"
Richland CG,Brophy HS,"Vaden Kumar																																						Patrick Fox																																						Jericho Suarez","Aff																															Aff																															Neg","2-1																															AFF"
Cuttlefish independent CY,Sacred Heart Cathedral Prep BF,"Cody Morrow																																						Maryclare Nestor																																						Ariel Gabay","Aff																															Aff																															Aff","3-0																															AFF"
Woodward HS,Carrollton School of the Sacred Heart RG,"Rujuta Pandit																																						Joshua Ramos																																						Max Ulven","Neg																															Aff																															Neg","2-1																															NEG"
St Paul Central MW,St Paul Central BB,,St Paul Central BB advances,St Paul Central BB advances
