Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Cambridge Rindge and Latin WT,Westford RB,Tom Welch,Aff,29.0,29.0
Brookline DS,Cambridge Rindge and Latin EA,Tarin McAdoo Comer,Aff,29.0,28.0
Boston Latin SB,Winchester CB,Ila Mehta,Aff,28.5,28.0
Lexington RB,Needham FG,Lei Gao,Aff,28.5,28.0
Cambridge Rindge and Latin KA,Walpole SP,Dan Tucker,Aff,30.0,28.5
Lexington SD,Xaverian Brothers MG,Yashar Adibnia,Neg,28.0,28.5
Cambridge Rindge and Latin GB,Waring MB,Mahender Gurram,Neg,29.0,29.5
Acton-Boxborough CG,Cambridge Rindge and Latin MM,Klil Loeb,Aff,29.5,29.0
Brookline SB,Lexington BL,Aubrey Goodman,Aff,29.5,28.0
Needham MW,Lexington NG,Judy Liang,Aff,30.0,29.5
Walpole RM,Needham SS,Yueling Wang,Aff,29.5,29.0
