Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Arlington MM,Boston Latin SB,Kiki Alexis,Neg,27.9,28.0
Canton SN,Walpole SP,Leah Broder,Aff,29.4,28.0
Cambridge Rindge and Latin GB,Boston Latin AH,Trent Kuykendoll,Aff,29.4,29.0
Canton MR,Needham FG,Noah Darby,Neg,28.7,28.9
Lexington RB,Walpole AK,Yilmaz Yoruk,Aff,29.5,27.8
Brookline AT,Needham CC,Dushyant Shahrawat,Neg,29.1,29.3
Winchester CB,Cambridge Rindge and Latin KA,Maguene Moussavou,Neg,29.2,29.3
Arlington NK,Needham OS,Maggie Zhu,Aff,28.6,28.7
Brookline SB,Shrewsbury HZ,Carole Hooven,Neg,28.6,28.7
Winchester EL,Cambridge Rindge and Latin EA,Nicholas Fitzgerald,Aff,29.2,27.4
